,Change Number,Value
0,1,148418921
1,2,148430521
2,3,148622654
3,4,148634440
4,5,148639504
5,6,149020430
6,7,149032153
7,8,149038136
8,9,149269240
9,10,149280769
10,11,149629573
11,12,149635271
12,13,149640676
13,14,149646514
14,15,149795630
15,16,149802596
16,17,149807817
17,18,149814170
18,19,149998458
19,20,150010652
20,21,150177371
21,22,150188902
22,23,151374559
23,24,151386206
24,25,151779371
25,26,151791369
26,27,151906608
27,28,151918381
28,29,152335711
29,30,152347164
30,31,152727932
31,32,152739414
32,33,153063513
33,34,153074909
34,35,153410763
35,36,153416118
36,37,153421945
37,38,153427759
38,39,153555136
39,40,153561521
40,41,153567396
41,42,153572905
42,43,153797961
43,44,153803488
44,45,153809607
45,46,154163531
46,47,154175017
47,48,154186871
48,49,154221087
49,50,154323817
50,51,154626134
51,52,154637721
52,53,154721186
53,54,154758133
54,55,155116651
55,56,155127803
56,57,155134807
57,58,155203096
58,59,155214520
59,60,156579274
60,61,156591135
61,62,156602677
62,63,156799388
63,64,156811432
64,65,156828135
65,66,156863410
66,67,156874817
67,68,156880117
68,69,157228224
69,70,157239501
70,71,157336580
71,72,157347944
72,73,157679879
73,74,158291827
74,75,158304217
75,76,158321323
76,77,158419482
77,78,158425058
78,79,158431376
79,80,158436929
80,81,158678531
81,82,158690155
82,83,158854088
83,84,158863709
84,85,159991817
85,86,160813162
86,87,160825021
87,88,161062564
88,89,161074104
89,90,161276538
90,91,161288015
91,92,161305360
92,93,161363779
93,94,161375344
94,95,161380397
95,96,161426701
96,97,161438596
97,98,161444306
98,99,161802595
99,100,161814367
100,101,162212860
101,102,162224506
102,103,163434308
103,104,163451588
104,105,163815414
105,106,163827731
106,107,164047288
107,108,164058311
108,109,164070632
109,110,164301043
110,111,164312852
111,112,164330387
112,113,164342835
113,114,164353394
114,115,164488052
115,116,164498358
116,117,164891056
117,118,165313448
118,119,165712425
119,120,166257293
120,121,166263660
121,122,166269664
122,123,166276032
123,124,166297721
124,125,166303547
125,126,166308351
126,127,166315840
127,128,166321530
128,129,166326279
129,130,166330880
130,131,166338164
131,132,166365658
132,133,166377308
133,134,167492973
134,135,167504505
135,136,167510652
136,137,167914943
137,138,167926497
138,139,167932311
139,140,168809020
140,141,168821268
141,142,168855273
142,143,168861013
143,144,168866718
144,145,168872665
145,146,168994436
146,147,168999778
147,148,169006220
148,149,169011639
149,150,170299238
150,151,170304693
151,152,170311042
152,153,170316477
153,154,170322038
154,155,170524296
155,156,170530212
156,157,170535930
157,158,170541711
158,159,170576758
159,160,170588070
160,161,170959043
161,162,170964494
162,163,170970992
163,164,170975992
164,165,172236765
165,166,172248188
166,167,172410702
